,영화'맘마미아1' 감상평
1438,아맘마미아2번봤는데짱재미있어요역시맘마미아좀짱
1439,볼만해요....ㅋㅋ
1440,맘맘미아!재밌어요!
1441,멋쩌요
1442,Oh...very good great!Fantastic한 영화  짱짱짱짱짱짱짱짱짱짱짱
1443,노래땜에 봣다
1444,전되게 재밌던데;;
1445,"스토리는 없고, 노래만 있다. 그리고, 이렇게 지겨운 이유는 뭘까?"
1446,아무리 음악이 좋아도 스토리에 조금은 신경 썼어야지...
1447,"메릴스트립&피어스브로스넌 완전 에러캐스팅, 아바노래만좋다"
1448,"물랑루즈-시카고-드림걸즈의 스토리엔 마니 못미치나, 아바의 음악만은 좋았다"
1449,"오우 뷰티풀 , 너무재밌었음"
1450,유쾌하면서 훈훈한 영화!
1451,노래나오는영화를좋아하는사람이라면 좋아할영화.
1452,주인공 여자애 가슴 큰 거 빼고는 볼 게 없다.. 노래만 하다 끝나 --;
1453,"노래가 최고네요 , 배우들도 대단하고"
1454,우와 보고나서 감동 ㅎㅎ 엄마가 딸 시집보내는 감정을노래로 찡하게 표현 짱 ㅎㅎㅎ
1455,아바의 노래가 없었다면 존재하지 않았을 영화.
1456,유쾌하고즐거운영화!!
1457,"어머니를 위해 봤지만, 나중에는 내가 더 열광하고 있었다. 아름다운 가사의 노래들"
1458,가족끼리 보면 좋은 영화 예요 보면서 엄마랑 엄청 웃었어요
1459,즐거워지는 영화입니다.
1460,완전재미있어요. 스토리도 괜찮고요... 뮤지켤형식이라 잼있어요.
1461,와우 굳 이거 말이 필요 업는 영화네요 감정이 잇는사람이라면 잼잇는영화!
1462,아바의 명곡과 그리스의 아름다운 배경이 없었다면 지극히 통속적…
1463,아기자기했던 맥을 끝까지 이끌어가지 못한게 너무 아쉽다!ㅜㅜ
1464,무지하게 지루했다. 이런 비현실적이고 동화같은 얘기 딱 질색!!
1465,한편의 뮤지컬을 보는듯 노래도 정말 좋음
1466,맘마미아를 영화로 만든다면 더 이상의 구성은 없다. 소소하고 아름답고 신나고!
1467,전 재밌게 봤습니다 ^^;;
1468,처음10분-울고팠다..그러나 10분 이후-깔깔낄낄대며 관객모두 웃으며 관람^^
1469,돈 주고 보기에는 돈이 아까운 영화. 평점 너무 믿는 것도 별로 좋지는 않은 법
1470,지극히 여성취향의 영화.
1471,멋진 배경과 화련한 배경음악 .....
1472,아바의 환상적인 음악과 영화스토리의 절묘한 조화. 하지만 뻔한 스토리.
1473,솔직히 재미없다.....배경만 이뻤다.....
1474,아따 허벌나게 재밌고 감동적인 영화!  말이 필요없어요 ^-^
1475,기분좋음.좀 그런부분도 있었지만;;
1476,확실히 기분이 좋아지긴 해
1477,집중이 잘된다 진짜 ㅋㅋㅋㅋ다 들어본 노래들이라 뭔가 좋았다...
1478,언제 어떻게 봤느냐에 따라 어쩜.. 평점이 달라졌을수도 있었을 영화..
1479,이거 12세꺼 아닌거같던데 -_-
1480,재밌는데욤 ㅋ
1481,저도 재밌게 봤어요 ㅋㅋㅋ. 3번봤어요....... 영화관 1번 집에서 2번 ㅋㅋ
1482,솔까말...재밌게보진않았고 걍 두시간자리 노래잘들음
1483,정말재밌을줄알았다.....노래만잘부른다....
1484,이거보자고 했던 우리반 여자아이들을 패버리고싶다.. - _ -
1485,재밌게봤지만나중에뭔가허전하기도..조금더알찬내용으로 햇으면더대박났을것같은영화
1486,훌륭한 노래와 눈을 떼지 못하게 하는 섹스 심볼들. 근데 그거밖에 없는 영화.
1487,저는 진짜 재밌게 봤습니다.
1488,"최고,. 영화보고 평점주는거 첨이다 그것도 10점!! 최고 명작"
1489,음악과 상황의 절묘한 매치. 허나 허전한 구성.
1490,아바노래를 정말 잘 표현하며 감정이 잘 이입이 된것같다!
1491,노래 뭐 경쾌하고 근데 조금은 부산스러웠다고 생각
1492,"재미없어요 단지 주인공 이 이쁘고 노래좋고  내용이 너무 어이없는듯 특히 엔딩,.."
1493,그럭저럭
1494,한동안 내 cdp엔 맘마미아ost만...메릴 스트립의 the winner takes it all 감동!!
1495,바다내음이정말좋다..노래도정말신난다 새벽녁바다..짱!
1496,이걸보면 딱 떠오르는 단어 '지루'
1497,ost가 너무 좋아요 헤어스프레이보다 재밋더군요오~ 지금도 노래 듣고 있어요^^ sos
1498,이건 예고편도  재미있던뎁....ㅋ
1499,잼있었다ㅋ여자들이 좋아할만한 영화
1500,아주 흥미로운 영화였음 (뮤지컬)
1501,사실 뮤지컬영화치고는 별루다 헤어스프레이보다 훨씬 별루긴하다 ㅡㅡ
1502,왜이렇게 다 어색한지 괜히 신난척하는게 눈에 다 보이고 연기가 다 망쳐놈
1503,아바노래는 좋았지만 영화로서는 높은평가를 할수없는 범작
1504,지금까지 본 뮤지컬 영화중 캐최악!! 영화관에서 봤으면 캐후회했을듯.
1505,지금까지 본 뮤지컬 영화중에서 최고인듯!!!정말 영화관에서 안본걸 후회했어요..ㅠ
1506,이영화매우끈내주는걸요~`
1507,뮤리엘의 웨딩때부터 좋아했던 아바의 음악을 기분좋게 즐길수 있는 영화
1508,비디오로 빌려서 봤는데 극장에서 안본게 후회스러웠어요 ㅋ
1509,아바의 음악도 신나고...정말 유쾌한 영화...
1510,영화관에서 전에 봤는데 짱재미있어요
1511,재밌다~!
1512,재밌다최고다명작이다…☜구라까지마첨부터끝까지노래라평하고말것도없구만ㅡㅡ장난?
1513,재밋음ㅋㅋ
1514,무척이나 흥겹게 본 영화. 뮤지컬 같은 영화와 한 번도 못간 공연장에 간 느낌?
1515,가면서 지루해져 ㅠㅠ
1516,각자 자신이 재미있었으면 된겨~ 난 아바노래도 좋코 재미나던데??
1517,"진짜 뮤지컬을 보는듯한 느낌. 정말, 본것이 후회되지 않습니다!"
1518,올해 본 영화중 정말 최고!! 계속 노래나와서 싫다는 분은 뭐임;;
1519,올해 본것중에 최고!
1520,잼나요 노래가 짱좋음
1521,노래가 얼마나 영화에 큰 요소인지 깨닫게된영화
1522,청량감 가득한 상쾌한 영화
1523,뒤로갈수록지루한감이있지만음악은최고 근데 도나가 메릴스트립이라니...
1524,참 유쾌하고 느낌있는영화
1525,간만에 기분이 상콤해지는 느낌..
1526,크~~~! 보는내내 미소를 짓게 만들었다!! 허니허니가 맴돌아 ㅋㅋ
1527,9점주기도 애매해서 반올림 10점~~~!!
1528,보는 내내 어꺠가 들썩들썩 ....전체적완성도는형편없지만아바음악만으로도굿!
1529,재밋게 본 영화~!
1530,"아바 노래가 어쩜 영화에 하나같이 다 잘 어울어지는지 재미있게 봤습니다,."
1531,"노래 하는 건 참 신나고 좋은데, 쬠 지루하기도 하고"
1532,뮤지컬안보는사람1인; ㄴ무 즐거베봤어요 글구아바노래짱!! ㅋㅋ
1533,재미있었어요!!
1534,무지 흥겹네요^^ 메릴 스트립 오버 연기는 쬐큼 부담스러웠지만...
1535,스토리가 단순할수록 우리는 음악에 집중할 수 있다. 그것은 칭찬.
1536,뮤지컬 영화는 다 거기서 거기인듯....
1537,이게 뭐가 재미있다는 건지.. 영화로선 꽝이다는 의견들이 맞음.
1538,최고
1539,"ABBA 노래만 보면 10점 , 스토리상 보면 5점"
1540,노래만 듣기 좋았다 ㅋㅋ 아바짱 ㅋㅋ
1541,사람마다 다르지만 전 굉장히 지루했어요 스토리 전개가 이어지지가 않는듯
1542,"7살때부터ABBA의 음악을 듣고자란 24살청년입니다,애인과 함께봤는데너무좋았답니다^^"
1543,킹왕짱 캐감동 내 생애 최고의 영화! 개봉일이 긴 데는 분명 이유가 있다!
1544,중간에.......결혼식 하러 말타고 올라갈때 나 잠깐 졸았음;;;;;;;ㅋ
1545,노래와 춤만 흥겹고 늙은 여자 사랑이야기나 들어줄 여유따윈 없었다 ...ㅋㅋ
1546,웃다가 울다가 완전 푹 빠져서 본 영화..아바의 곡들은  지금 들어도 명곡이란 생각이
1547,메릴스트립과 피어스 브로스난이 출연한 뮤지컬이란 것만으로도 9점
1548,넘 넘 감명받아서 계속 훌쩍훌쩍ㅠ 내가 본영화중 ACE
1549,오랜만에 즐겁게본 영화에요ㅋㅋ
1550,시작부터 너무너무 흥겨웠다!!보는내낸 귀와 눈이 즐거웠음!
1551,great
1552,ABBA노래 가사말들이 이렇게 좋을줄이야!! 배경두넘예뻤고쵝오!!
1553,"가벼운 느낌의 영화. 메릴 스트립의 가창력과 아만다의 아름다운 목소리 덕에,,,"
1554,the winner takes it all 노래 정말 감동적이었다 ㅠㅠ
1555,아.. 진짜 인도영화같이 뭐야 계속 중간중간 노래야 그냥 줄거리대로 가던지
1556,내생애 최고의 영화중하나.. I have a dream에선.. 눈물이 주르륵..^^
1557,예전기억이 새록새록 떠오르는군
1558,젠장 영화에 내용이 없어 줄거리에 나온게 끝이야 음악도 상황에 안맞고
1559,"원래부터 ABBA의 팬이었고, 메릴 스트립과 아만다 둘 다 훌륭함..."
1560,여태껏 본 최고의 뮤지컬 영화중 하나~!
1561,즐겁다 웃기다 노래좋쿠~ 근대.. 주인공이 엄마야 딸이야~ ㅌㅋ
1562,짱이에요
1563,"영화/음악/스토리 다 좋은데, 자유분방의 극치인 사랑개념이 좀 걸리더라"
1564,전형적인 저질스런 미국영화aa
1565,완전 나오는 노래들이 다 중독성이 강한 노래들만 있어서 너무 재밌어요^^
1566,개인적으로 뮤지컬영화는 별로였던 나지만 보는내내 유쾨했던 최고의 뮤지컬 영화!!
1567,엄마들이 좋아할만한 영화인듯
1568,아바의 노래는 좋았지만 내용은 참 지루하네요
1569,"다소 어수선한 상황전개와, 장면만 정리된다면 정말 좋은 영화."
1570,정말 비추천영화네요 ㅋㅋㅋㅋ
1571,.....재미없었음...가끔 웃긴 부분은 있었음
1572,네이버 평점을 믿지 못하게 하는 영화  이거 틀어서 친구들한테 욕대박묵음
1573,보는 내내 가슴이 두근거렸던 영화
1574,보는 내내 즐거웠던 영화
1575,올해이영화를보지않았다면큰실수를한것이다.make thrill me
1576,보는내내 유쾌하고 노래는 당연 좋고 최고의 뮤지컬 영화
1577,재밌어요^^ㅋ
1578,최고~!!!ㅎ
1579,재밌어요
1580,최고!!
1581,아! 과거가 생각나며 애잔한 느낌으로 보았다. 메릴스트립의 연기력은 역쉬!! 굿!!
1582,"뮤지컬배우들이 출연했다면 더 나았을 수 있지만,  스토리상 일반 배우가 어울리네요"
1583,정말 재밌어요
1584,오버스런 연기가 오히려 노래와 어울려서 즐거움이 더하네요
1585,극장에서 두번 본 몇 안되는 재미난 영화..
1586,노래는 정말 좋았는데 내용은 좀 황당하네요. 정서가 안맞네요
1587,맘마미아!!노래가 너무 재밌었어.영화도 정말 재밌었어!!정말 좋은 영화야!
1588,??뭥미 솔직히 8점짜리는 아니라고본다셤기간에몰래본건데내가다시연필잡게만든영화다
1589,기대를 너무했나봐~ 생각보단~
1590,정말재밌는영화엿당 이런영화좀많이나왓으면좋겟음~~
1591,간만에 뮤지컬 본 느낌을 받았네요 보는 내내 엉덩이가 덜썩거려서 혼난났네
1592,너무 사랑스런 영화였어요~ ^^
1593,즐겁고 유쾌한 영화. 가볍게 즐길 수 있는 영화.
1594,"지겹고졸리고,, 계속 왜안끝나 이생각 하면서 봤음"
1595,반짝반짝 빛나는 보석같은 영화~!
1596,영화관에서만 3번을봤네요.ㅎ 몇번을 봐도 재미있는 영화!!! 완전 최고였어요
1597,귀에 익은 음악에 흥겨운 영화. 만듬새는 평이하지만..
1598,밑분 너무 과장하신다 그정도로 재밋진 않다
1599,"트리플 크라운 재미,감동,음악 메릴스트립의 팬이라면 무조건"
1600,재밋엇어요!감동이양
1601,영화관에서 노래를 부르고 싶은 감정에 싸였고 뮤지컬로 보고싶은 욕구가 생겼다
1602,음악 완전 즐거웠다 ㅎㅎ 내내 흥얼거렸음 ㅋㅋ
1603,정말 쓰레기 중에 쓰레기  올해 본 영화중 가장 최악...
1604,홀딱 반한 영화 최고 ^^
1605,아바의 음악에 경의를 표한다 느껴라!그리고 즐겨라~
1606,보는 내내 콧노래가 절로 흥얼거려지고 어깨가 들썩거리는 영화
1607,완전 짱!! 오버 쫌 짱... 노래 완전 좋곸ㅋ
1608,"진짜 재밌고,, 완전 영화 보면서 즐거웠다~ 고민거리가 사라지는듯"
1609,재밌었어요
1610,요즘영화스럽지않은 클래식함..
1611,기분이 좋아진다는건 부정할수없지만 배우들의 오버연기와 갈수록 지루해지는건 단점
1612,유쾌해지는 영화. 기분이 마구 좋아지는 근래에 보기 드문 영화
1613,내가 이걸 왜 봤을까...
1614,생각 보다는 노래도 흥겹고 재밌지만.. 내용이 조금 시시하네요 ..^^
1615,보고나니까 재미네요
1616,정말한번보고나니까절대후회하지않앗어욯ㅎ노래도다운받앗어욯ㅎ
1617,지극히 취향에따른 영화
1618,"노래와 춤은 흥겨웠지만, 내용은 쓰레기."
1619,너무 좋았던영화 한편의 뮤지컬을 본듯..
1620,팝송용많이듣는사람이 들으면 좋은영화
1621,쓰레기 내인생 최악 스토리 저질
1622,훌륭한 뮤지컬 영화가 되기에는 너무 부족한 그나마 아바라
1623,노래감상비 = 영화비 이건뭐 노래만 들린다 영상은 최저하
1624,종았어요.
1625,오래만에 참즐거운 기분이네요.그시절에 가서 앉은 느낌입니다
1626,재미있었어요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1627,추석때 부모님과 같이봣는데.. 이건 연인끼리...(노래는 Good)
1628,이거 완전 잼있었어요~~
1629,귀와 눈을 모두 즐겁게 하는 영화다
1630,완전재밋어요~!!!!!!!!!
1631,아바히트곡 엮어 만든 것이라 모두아는 음악.영화적 면에선 0.스토린 뻔한 여성성해방
1632,노래는 좋다..
1633,피어스 브로스넌.... 노래 못하던데 뮤지컬 영화에 캐스팅 된 이유는?
1634,지루는 했는데 스토리는 재밌네효
1635,무섭다... 여자들이란... 덜덜덜
1636,신나고 경쾌한영화. 웃음짓게 만드는영화^^
1637,아바를 잘 모르는 나.. 음악과 메릴 스트립이 좋긴했지만 지루한건 어쩔 수 없다..
1638,3명의 구멍동서 이야기. 노래는 좋으나 배우들의 가창력엔 문제가 좀 있다.
1639,영화를 가로지르는 경쾌한 음악.
1640,노래좋지만 뭔가 부족.. 하단느낌?
1641,걍..그럭저럭..
1642,ABBA팬이라면 꼭봐야할 영화입니다! 정말좋았습니다.
1643,아바땜에 별하나준다...이게영화냐 물랑루즈반만되라
1644,0점짜리 졸림
1645,속이 뻥뚫리는 기분?
1646,영상과 음악 하나하나~뮤지컬이 어색하지 않은
1647,밝고 명랑한영화.  나쁘지 않은 스토리에 좋은 배우
1648,넘넘 잼썼어요
1649,"노래도 너무 좋고, 재밌어요~"
1650,너무너무 재밌고요 뮤지컬과 합치니 너무나 아름다워요 ㅋㅋ
1651,넘 아름다운영화에요~ 기분까지 산뜻하고 행복해지는 영화~ 강추!!
1652,아바의 음악을 안다면 무한감동. 조금 아쉬운 연출력은 욕심일까...
1653,ost 다 다운 받았어요 아... 짱재미있었어요
1654,뮤지컬 영화 너무 좋아요 ㅎ
1655,군대에서 외박 나와서 어제 봤는데 신나고 재밌었어요. 기분전환 제대로 된듯 ^^
1656,지루하긴햇지만 재밋엇네요
1657,너무 재밋어요 ㅎㅎ
1658,재밋어요~ 뮤지컬을 보는 듯한...ㅎㅎ 푹빠져서 봤담니다.
1659,아바를 새로 알게됀 영화 ! 정말 너무 재미있습니다.
1660,"잘 만든 영화, 뮤지컬, ^^"
1661,"정말 감동 자체였습니다, 보는내내  사로잡혀 있었습니다! ㅠㅠ"
1662,아바 모르는것들은 리플 달지마.....감독 천재다...진짜 천재!!
1663,그냥 볼만한 영화. 흥겨운 노래가 백미.
1664,아바의 노래가 나옴으로써 더욱 즐겁게 본 영화~
1665,아바가 누군지 전혀 모르는사람은 점수를 적게줄수밖에 없는 영화...
1666,지금까지 본 영화중 제일 재미있었던 영화
1667,보고 나서 말하자. 정말 좋은 뮤지컬 영화
1668,처음으로 엄마와 함께 본 영화. 근데 프라다 입은 메릴스트립이 더 좋다.
1669,졸렸음
1670,남는건 음악뿐
1671,"이런게 음악의 힘!!보는동안 즐거웠던,기분좋아지고 음악의 신기함에 빠질수 있었던"
1672,난 ~ 메릴 스트립 보면서 이건 아니야 ~ 란 생각만 들든데 원곡들을 박살 내버린 으~
1673,완전 재미있고 내용도 완전좋아요^^ 진짜 진짜~
1674,노래가 너무 좋아요^^ 근데 이건 영화보단 뮤지컬인것같아요;;
1675,노래가 중간에 나와 재미도 있고 신나는 이야기
1676,남는 건 음악 밖에...다 아는 노래 들으러 굳이 7000원 낸 기분;;;
1677,재미있네요 ^^
1678,10년전 첨 아바곡을 접하고 팬이 되었다. 영화 보면서 미치도록 행복한 시간을 보냈다
1679,"너무아름다운배경,너무좋은음악,너무좋은배우들"
1680,메릴스트립의 노화를 빼고는 10점 만점에 10점
1681,보는 내내 즐거웠고 엔딩은 좀 어이없긴 했지만 그것도 재미있었다~
1682,정말 기분전환이 제대로...ㅠㅠ 돈벌어 그리스 가자..ㅠㅠ
1683,영화만 봤다.. 뮤지컬은 언제 또 해줄까..
1684,아 또보고 싶어ㅠㅠㅠ
1685,보구보구 또 보구시픈 영화~!!!
1686,즐겁게 볼수있어서 좋았다
1687,노래좋아
1688,나만그런가ㅠㅠ? 영화시작하고자서영화끝나고일어났던영화~ 돈아까움-..-
1689,내용은 크게 많이 없지만 즐겁고 유쾌한 영화였어요 거기다가 배경까지~
1690,보기전엔 뮤지컬영화라 어색해하신 엄마... 하지만 엄마와 난 웃고 울었습니다^^
1691,아쉬운 연출..그러나 음악과 배우들의 연기 그리고 그리스의 풍광은 환상적!
1692,보고있음 즐거워지는 영화 ㅋ 배경진짜이쁨ㅋㅋ
1693,영화관에서 온몸으로 느끼며 보아라! 아름답다.. 사람들도.. 배경들도.. 특히 소피;;
1694,걸작의 반열에 오를만한...너무 고마운...그리스 지중해.. 그들...너무 고마운 영화..
1695,계속 울었다.....................남들은 다 웃던데
1696,이걸 애인이랑 봤어야했는데 아놕 혼자보기에 아까운영화
1697,뮤지컬 영화는 처음입니다. 노래 정말 좋습니다. 내용도 좋지만 내용보다는 노래
1698,재밌어요ㅋㅋ
1699,너무재밌다!! 2번이나 봤어요!! 평점이 이상하네 -ㅁ- 무조건 10점!!! 두근두근 !!
1700,재미있었는데... 평점이 좋진 않지만 전 10점을 드립니다.!
1701,"정말, 상큼하고 아름다웠던 영화^^ 10점 만점에 10점~"
1702,"영화보는내내 소름이 돋았습니다,맘마미아 10점만점에10점!"
1703,전율이 온몸에 흐르게 본 영화
1704,텔레비젼으로 봐서 그런가? 난 그다지....
1705,"별 내용은 없지만, 음악이 신나서 그런지 기분 좋게 볼 만해요"
1706,진짜 재밌게 봤어요!!!^^
1707,신나고 유쾌하다.. 하지만 끝날때까지 신나기만 하다... 너무 가벼움!
1708,↓아래로 세명정도는 알봐인듯 ㅋㅋㅋ
1709,"보는 내내 엉덩이가 들썩거린 영화, 화장실에 가고싶어도 꾹참고 본 가슴설레인 영화"
1710,오늘 봤는데 노래 너무좋아  또 보고싶음 ㅋ~멋있어요 꺄꺄 ~
1711,"음 좋다 , 뮤지컬과 영화의 조화"
1712,노래는 좋다! 스토리도 괜찮다. 정말 좋다!
1713,스토리는 뭐 그럭저럭..노래는 굿
1714,보는내내 흥분감을 감추지 못함! 강추! 뮤지컬은얼마나대단할까!
1715,"잼있었어요, 좋은 노래도 듣고 ... ㅎㅎ"
1716,그다지..
1717,쓰레기
1718,그냥;; 좋은 노래만 듣고 왔어요 ^^;;; 영화로 보는건 그냥 보통..
1719,"보는내내 미소가 입에 가득걸려, 행복했다"
1720,영화는 재밌게 만들었다. 하지만 인생이 놀고 즐기는 것이 다가 아니지 않는가....
1721,차라리 뮤지컬보고말지
1722,남자들이 보기엔 별로 인듯..;
1723,볼거리가 많다.재밌다.그러나 스토리랑 결말이랑 자유분방함이 맘에 안들어서 7점준다
1724,잼있어요...
1725,"전 너무 좋았어요, 음악+배경 최고의 감동~~! 별 백만개."
1726,별로....이 영화 뮤지컬로도 유명해서 기대하고봣는데 진짜별로;;;시간아까워
1727,"이영화 보고나서 뮤지컬도 보고싶어졌다,..."
1728,아바 노래 아니었으면 볼 필요성을 못느낄 비디오
1729,아름다운 영상과 음악 덕분에 기분이 좋아지는 즐겁고 행복한 영화
1730,"뮤지컬적요소가 감소, 기대에는못미쳣으나 영화적요소로서 아름다운영상미가 돋보임"
1731,뮤지컬 보구나서 영화 보니 정말정말 별로...
1732,오웅굳 ㅋ 허니허니~
1733,아바의 노래가 없었다면 이 영화에서 곽객을 사로잡을 요인은 무었인가?
1734,즐겁게 봤습니다
1735,재밌게 본것 같네요^^
1736,혈액형 확인하면 친자 바로나오겠구만
1737,처음맘마미아를봤는데 정말재미있더라구요^^*ㅎ
1738,오랜만에 본 영화다운 영화- 보는 내내 행복하게 관람할 수 있었다. 굳!
1739,오랜만에 본 영화다운 영화- 보는 내내 행복하게 관람할 수 있었다. 굳!
1740,정말 재미없었다 돈아까워
1741,여태까지 봐왔던 영화와는 딴판! 정말 재밌고 감동있네요
1742,생각못한 감동! 생기넘치는 영화 굿
1743,엉성한 편집과 영상화면이 별로... 이래서 뮤지컬 영화는 어렵다. 딸만 예쁘더군여~
1744,오랜만에 재밋게 본 영화
1745,난 엄청 재밌었다 ㅋㅋ 노장파워ㅋㅋ
1746,뮤지컬형식의 영화로써의 매력을 잘 드러내어 보는동안 재밌다 느끼게 만들어주니 OK
1747,피어스 브로스넌이 좀 미스캐스팅인것같다 개인적으로 그것빼면 완벽해!
1748,"새로운 노래였음했는데, 다 아는 노래라서 식상했던, 딸로 나온 아이는 참 예뻤다ㅎㅎ"
1749,노래만 부르니?
1750,원작 뮤지컬이 궁금해지게 만드는 영화
1751,노래 좋고 스토리도 좋다 진짜 재밌다!
1752,정말 뮤지컬은 본것같아고 많이 개대했었는데 기대이상인영화!~
1753,사운드오브뮤직 이후 정말 오랫만에 느끼는 감동..
1754,처음으로 졸리지 않은 영화였다
1755,맘마미아기대안하고보고재미없는줄알았는데재밌네계속보고싶다
1756,별 기대 안하고봐서 그런지...재미있네요....
1757,난...왜이렇게 지루했을까 다들 잼있다네...예술영화&뮤직컬영화 좋아하는뎅~
1758,배우들의 열정적인 모습과 아름다운 멜로디가 만든 영화이다
1759,솔직히 뮤지컬영화치곤 좀 별로였지 싶다
1760,"노래는 좋은데, 너무 기대를 해서 약간 실망 .."
1761,배우들의 열정적인 모습에 감동적이었고 힘이 났다.
1762,그냥 딱 재밌었다^^ 보고나서 후회는안할듯~ 재밌었음^^*
1763,경쾌하고 달콤한 배경음악과 아름다운 지중해 바다와 섬. 흡사 뮤지컬을 본 느낌.
1764,영화에 노래가 더해지니 더욱 신선하면서도 내용전달이 잘 되는듯..좋았어요!
1765,영화내내 어깨를씰룩거리며신나게봣습니다. 이런퐌똻스틱한영화보고악플다는인간멍미
1766,"연기와 노래 모든것에 점수를 주고 싶음,ㅋ 신난다"
1767,음악만 좋은거 같음
1768,단순한 줄거리를 음악이 살려주네..소피목소리 너무 이쁘다..
1769,생각한것만큼이나 재미있지는않았지만 기억에 남는 노래가 많은노래 ㅎ
1770,ㅎㅎ 초반에 신나는 느낌은 속일수가없네
1771,음악만 듣고 가족이 보면 안될 영화..도대체 아버지가 누군지도 모르는 아일 낳다니..
1772,노래 너무 좋아요 ㅎ 두번이나 봤다는..^^
1773,뷁 노래만나오고
1774,평점이 생각보다 높다 이쩌나
1775,생각보다 못하다
1776,뮤지컬의 한계를 못 벗어난 2차원 영화.
1777,나도 이정도는 만들수 있다
1778,재미있었던영화인듯ㅋㅋㅋ
1779,가족끼리 보기 좋았던듯^^
1780,아 이런 아이들한데 보여줄려고 했는데;; 자막이 안나오네 ㄷㄷ;
1781,아~주재미있어요.근데 자막이라서 아이들이 보기 불편했지만 노래도 좋고 볼만했어요
1782,즉흥적인 상황들을 이해하긴 좀 그렇지만 유쾌하고 신났던 뮤지컬
1783,메릴스트립에게 불가능이란 없다!
1784,아바 생각도 많이 났고 정말 잼있었어요~!
1785,노래도 좋고~재미도있고~근데 끝이 좀 황당했다는..
1786,아~ 정말 멋진영화다~ 2009년 단영최고영화~ 벌써 몇번째 보냐~
1787,완전추천
1788,신나고 아름다운 영화다!!!
1789,최고 ㅋㅋ
1790,아주 재미있는 영화 ㅋㅋㅋ
1791,올해 영화중 최고이다!
1792,정말 유쾌한 영화
1793,뮤지컬 후광과 음악이 없었다면 ....과연
1794,너무 행복해서 눈물이 나는 영화 ! 최고의 뮤지컬!!
1795,원작의유명세와아바의노래가다인영화...차라리뮤지컬을봐라...브로스넌노래솜씨도안습
1796,행복이 미덕이다. 지구상 대부분의 쾌락주의자를 위한 헌사
1797,여자만을 위한 영화!! 난 최고! 우리 신랑은 최악인 영화~  ^^
1798,이건 아니야...
1799,재밌음
1800,최고최고최고!!!1
1801,"3번 넘게 봤지만,정말로 재미써요."
1802,음악이 귓가에서 떠나가질 않는다
1803,넘 재미있어요!~~ 나오자 마자 바로 봤어요~~ 또 보고 싶네요
1804,최고^^
1805,"평점안좋게 준 사람들은 중,고딩 이다에 내 손모가지와 전재산을 건다..ㅋㅋㅋ"
1806,너무재밌어요
1807,마치 다른 세계에 온듯한 기분
1808,정말 잼있어요
1809,강추
1810,최고 !
1811,진짜 강추영화! 행복해지고 즐거운 영화~
1812,"너무나 유쾌하고, 행복해지는 영화!!!"
1813,올해 내가본영화중에 최고의영화!!!!! 감동 즐거움 재미가 모두들어있는영화
1814,아주 볼만한 영화........
1815,노래로 다 부르니 ㅋㅋ 멋있고 재미있다 ㅋㅋ 신선한영화 굿 ㅋㅋ
1816,"마치 다른 세계에 온듯한 기분 .. 관객을 빨아 들이는 스크린, 황홀했다."
1817,뮤지컬을 영화로 만든 건 대부분 좋은듯..
1818,한마디로 흥겹다. 뮤지컬을 알게해준다. 음악도 좋다. 다만 리에이크여서 9점
1819,완죠~니 내스타일 ㅋㅋㅋ 넘좋아잉
1820,뮤지컬 따윗 재미없다
1821,걍 뮤지컬보러가는게.. 감동두 없구 지극히개인적으론 최악
1822,나의 어릴적 기억을 음악으로 떠올려준 영화 아바최고~~~!!! 감동감동~~!!
1823,전달하고자 하는 내용이 좋은 음악 때문에 더 와닿음
1824,뮤지컬을보고 봐서 그런가.. 좀 지루한 부분이 많았어요
1825,오랜만에 기분 좋은 영화 본거 같아서 너무 좋아요~
1826,어떻게 이런 명작에 1점을 줄 수 있지. 영화가 아깝다
1827,정말 오랜만에 영화를 다 보고 기립을 했던 정말 최고의 영화!
1828,노래가 신나고 재미잇네요 ^^
1829,씨발 ㅋㅋㅋㅋ이런 OO같은영화는 처음본다 정말
1830,영화보는동안 신났어요
1831,재밌었어요
1832,016분동안 비너스의 샘물을 마신듯한 설레임^^
1833,"뮤지컬영화 좋아하고 아바노래도 좋지만, 이 개같은 연출은 용서가 안된다"
1834,진짜 재밌었다. 지루하지않고 처음부터 끝가지 재미있었다.
1835,정말 재밋엇다 가슴속에잇던 스트레스가 다풀리는 느낌 ~!!
1836,뭔가 부족하단 생각이 든다... 중반부 넘어가선 지루한감도...6-7점이 딱 적당한듯...
1837,최고의영화
1838,날로그인하게만든영화이영화가처음이야좆 나 재 미 업 서 시 발
1839,짱 재미있음
1840,10점만점에 1점
1841,부모님이랑 볼때 추천 -ㄱ
1842,노래만 좋았다..
1843,뮤지컬 영화라 재밌게 볼수있음 ㅋ 노래랑 영화랑 잘어울리는 ㅋㅋ 노래도 신나구
1844,흑 영화관 스피커가 좀더 빠방햇으면 ㅠㅠ 암튼 잼있게 봣음
1845,별로..
1846,조연들의 연기도 끝내주네요~노래가 넘 좋아요`
1847,최고의 영화..빨리 접어라..DVD 사고싶당...
1848,오페라의유령 다음으로 최악의 영화 그냥 노래만 들으세요
1849,보는 내내 즐거웠던 맘마미아!
